category,confidence,reasoning,txn_id,description
Meals & Catering,0.84,"Description references food/catering context (dinner, restaurant).",TXN-13864,Client dinner - deal closure celebration 8 pax restaurant booking
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-13865,Cloud compute Q3 reserved capacity - multi-region failover setup
Travel & Transport,0.55,Description references travel or transport (boarding).,PMT-13867,Miro Team annual - whiteboarding 45 seats
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-13872,1Password Teams annual - 80 seats
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-13873,Partial refund - catering shortfall Q3 offsite event
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-13875,Investor roadshow dinner - 6 guests fine dining
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13876,DocuSign Enterprise annual - unlimited envelopes 100 senders
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (figma).,TXN-13878,Figma Enterprise plan annual - 80 cross-functional seats
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",REF-13879,CloudFront CDN data transfer - video streaming Q2 spike
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (subscription).,TXN-13880,Workday HCM annual subscription - 800 employee org
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-13881,GitHub Enterprise Cloud annual - 300 developer seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13882,Payout API bulk disbursement processing fee - May 2026 cycle
Personal Expense,0.66,"Description contains personal-use indicators (personal, netflix).",TXN-13883,Personal Netflix subscription - accidentally on corporate card
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13884,Ride to client site - Bhubaneswar HQ quarterly review meeting
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-13885,Personal Swiggy order - home delivery non-business expense
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-13888,Atlassian Cloud bundle - Jira Software + JSM 500 users
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-13890,BillDesk payment gateway annual maintenance fee
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (subscription).,TXN-13891,HRMS annual subscription - employee self-service 800 users
Travel & Transport,0.84,"Description references travel or transport (flight, boarding).",TXN-13892,Flight CCU-BOM for Mumbai client onboarding visit
Travel & Transport,0.84,"Description references travel or transport (flight, bus).",TXN-13893,Flight HYD-JFK for New York investor roadshow - 2 pax business
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13895,Content marketing agency quarterly retainer - Q2
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13896,OpenAI API credits - GPT-4o production inference tier
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-13897,Flight BLR-DEL return - Q3 leadership offsite 1 pax
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, renewal).",TXN-13898,Annual Slack Business+ renewal - 200 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13899,Taj Lands End Mumbai - 2 nights partner event accommodation
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-13900,PagerDuty Business annual - on-call management 30 users
Finance & Banking,0.55,Description references financial services or payment processing (gateway).,TXN-13905,Payment gateway monthly transaction processing fees - May cycle
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-13909,Bulk flight bookings annual sales kickoff - 30 tickets DEL-BLR
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-13910,Outbound team building retreat Coorg - 2 days 50 staff
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13911,The Oberoi New Delhi - 1 night VIP guest accommodation
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13914,Background verification bulk - SpringVerify 50 new hires
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",TXN-13916,Airport cab drop - personal vacation travel to Goa non-business
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (ec2).,TXN-13917,EC2 reserved instance commitment - 1yr term prod fleet upgrade
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",TXN-13918,Airport cab drop - personal vacation travel to Goa non-business
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (jira, confluence).",TXN-13919,Atlassian Cloud bundle - Jira + Confluence 300 users annual
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13921,Content marketing agency quarterly retainer - Q2
Personal Expense,0.66,"Description contains personal-use indicators (personal, netflix).",TXN-13922,Personal Netflix subscription - accidentally on corporate card
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-13924,Personal Swiggy order - home delivery non-business expense
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-13925,Catering for Q3 OKR setting workshop - 80 pax
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13926,Twitter/X Ads - product launch announcement campaign
Finance & Banking,0.55,Description references financial services or payment processing (stripe).,TXN-13927,Stripe processing fees - monthly statement May
Travel & Transport,0.55,Description references travel or transport (cab).,TXN-13928,Corporate cab account monthly - engineering late-night cabs May
Travel & Transport,0.55,Description references travel or transport (bus).,PMT-13931,Grammarly Business annual - writing assistant 30 seats
Hardware & Equipment,0.55,Description references physical hardware or equipment (monitor).,TXN-13932,Datadog APM annual commitment - 20 hosts infra monitoring
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-13933,Flight BLR-DEL return - Q3 leadership offsite 1 pax
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-13934,Power BI Premium annual - analytics platform BI team
Finance & Banking,0.55,Description references financial services or payment processing (gateway).,TXN-13935,Payment gateway monthly transaction processing fees - May cycle
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13936,Trademark registration - 5 classes brand protection
Hardware & Equipment,0.84,"Description references physical hardware or equipment (desk, chair).",TXN-13938,Office furniture - 15 ergonomic chairs and 5 standing desks
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-13939,Flight DEL-DXB for Dubai partner summit - 3 pax economy class
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-13940,Investor roadshow dinner - 6 guests fine dining
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (aws).,TXN-13941,AWS Solutions Architect external training - batch 12 engineers
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13942,Looker Enterprise annual - 20 developer seats
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-13943,Personal Myntra purchase - clothing item non-business
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-13944,GitHub Enterprise Cloud annual - 300 developer seats
Hardware & Equipment,0.55,Description references physical hardware or equipment (monitor).,TXN-13946,Datadog APM annual commitment - 20 hosts infra monitoring
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13947,Hugging Face Enterprise Hub annual - model hosting
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,EXP-13948,Snowflake compute credits - data warehouse Q3 usage
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (subscription).,TXN-13949,Workday HCM annual subscription - 800 employee org
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13950,Leela Ambience Gurugram - 4 nights extended leadership stay
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13951,Taj Lands End Mumbai - 2 nights partner event accommodation
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13954,Ride to client site - Bhubaneswar HQ quarterly review meeting
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13955,
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13956,ServiceNow ITSM Professional annual - 500 user tier
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (zoom).,TXN-13957,Zoom Phone enterprise add-on - 200 DID numbers annual
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-13958,GitHub Enterprise Cloud annual - 150 developer seats
Finance & Banking,0.55,Description references financial services or payment processing (gateway).,TXN-13959,Payment gateway monthly transaction processing fees - June cycle
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13960,Databricks DBU consumption - ML feature engineering pipelines
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, subscription).",TXN-13961,Refund - subscription downgrade credit Slack Business to Pro
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (jira, confluence).",INV-13962,Atlassian Cloud bundle - Jira + Confluence 300 users annual
Travel & Transport,0.55,Description references travel or transport (cab).,TXN-13964,Outstation cab DEL-NCR client visit - full day rental
Personal Expense,0.66,"Description contains personal-use indicators (personal, netflix).",TXN-13965,Personal Netflix subscription - accidentally on corporate card
Travel & Transport,0.55,Description references travel or transport (cab).,TXN-13966,Corporate cab account monthly - engineering late-night cabs April
Personal Expense,0.66,"Description contains personal-use indicators (personal, netflix).",TXN-13967,Personal Netflix subscription - accidentally on corporate card
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13968,Taj Lands End Mumbai - 2 nights partner event accommodation
Meals & Catering,0.84,"Description references food/catering context (catering, tea).",TXN-13970,Sales kickoff catering day 1 - 85 team members
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-13972,Salesforce Service Cloud annual - 80 agent seats
Travel & Transport,0.55,Description references travel or transport (boarding).,TXN-13973,New joiner batch onboarding lunch - 30 people
Personal Expense,0.84,"Description contains personal-use indicators (personal, gym).",TXN-13975,Gym membership personal - Cult.fit annual plan
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-13976,PagerDuty Business annual - on-call management 30 users
Personal Expense,0.55,Description contains personal-use indicators (personal).,TXN-13977,Personal Airtel mobile recharge - home number
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-13979,GitHub Enterprise Cloud annual - 150 developer seats
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (subscription, hubspot).",TXN-13980,HubSpot Marketing Hub Professional annual subscription
Travel & Transport,0.55,Description references travel or transport (bus).,CLM-13981,ClickUp Business annual - task management 100 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,REF-13982,Town hall snacks and beverages - 200 employees all-hands
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-13984,Personal Myntra purchase - clothing item non-business
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-13985,Power BI Premium annual - analytics platform BI team
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-13986,PagerDuty Business annual - on-call management 30 users
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-13987,ClickUp Business annual - task management 100 seats
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (adobe, creative cloud).",TXN-13988,Adobe Creative Cloud All Apps annual - 20 seats
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-13989,Personal Myntra purchase - clothing item non-business
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13990,Meta Ads Manager - performance marketing campaign October
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-13991,Bulk flight bookings annual sales kickoff - 30 tickets DEL-BLR
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (license).,TXN-13993,CRM enterprise license Q3 - EMEA region expansion 150 users
Travel & Transport,0.66,"Description references travel or transport (flight, travel).",TXN-13994,Spouse flight ticket - accompanied personal travel
Hardware & Equipment,0.55,Description references physical hardware or equipment (chair).,TXN-13995,Refund for cancelled office ergonomic chair bulk order - 20 units
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-13996,Asana Business annual - work management 75 seats
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (subscription, creative cloud).",TXN-13997,Creative Cloud team subscription - invoice pending CFO approval
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-13998,Cisco IP phones - 30 units new office floor expansion
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (figma).,TXN-13999,Figma Organization plan annual - design team 40 seats
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (license).,TXN-14000,CRM enterprise license Q3 - EMEA region expansion 150 users
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, renewal).",TXN-14001,Annual Slack Business+ renewal - 200 seats
Personal Expense,0.66,"Description contains personal-use indicators (personal, netflix).",TXN-14002,Personal Netflix subscription - accidentally on corporate card
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-14004,Asana Business annual - work management 75 seats
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-14005,dbt Cloud Team annual - data transformation 10 dev seats
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-14006,1Password Teams annual - 80 seats
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (adobe).,TXN-14008,Adobe Sign enterprise annual - 500 transaction pack
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-14009,Bulk flight bookings Q2 team offsite Bengaluru - 25 tickets BLR-DEL
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-14010,DocuSign Business Pro annual - 500 envelope pack
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-14011,GitHub Enterprise Cloud annual - 150 developer seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14012,Marriott Mumbai - 3 nights executive suite investor roadshow
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14015,DocuSign Enterprise annual - unlimited envelopes 100 senders
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14016,Content marketing agency quarterly retainer - Q2
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14017,JW Marriott Bengaluru - 2 nights leadership offsite Q2
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-14018,Catering for Q1 product roadmap planning workshop - 120 pax
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (gcp).,TXN-14019,GCP Vertex AI training job - custom model Q2 batch
Travel & Transport,0.84,"Description references travel or transport (flight, bus).",TXN-14021,Flight BOM-LHR for London board meeting - 1 pax business class
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, renewal).",TXN-14022,Annual Slack Business+ renewal - 350 seats enterprise
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-14024,Grammarly Business annual - writing assistant 30 seats
Personal Expense,0.66,"Description contains personal-use indicators (personal, grocery).",TXN-14025,Uber ride - Personal grocery run on weekend trip
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (hubspot).,PMT-14026,HubSpot Sales Hub Enterprise annual - 50 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14027,Anthropic API credits - Claude Sonnet production batch
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14029,Amazon DSP advertising - festive season October
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-14030,dbt Cloud Team annual - data transformation 10 dev seats
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, renewal).",TXN-14031,Annual Slack Business+ renewal - 200 seats
Meals & Catering,0.84,"Description references food/catering context (dinner, restaurant).",TXN-14032,Client dinner - deal closure celebration 8 pax restaurant booking
Hardware & Equipment,0.55,Description references physical hardware or equipment (chair).,TXN-14033,Refund for cancelled office ergonomic chair bulk order - 20 units
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14034,New Relic Full Platform annual - 100GB data ingest
Travel & Transport,0.55,Description references travel or transport (bus).,EXP-14035,Personal Swiggy order - home delivery non-business expense
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (azure).,TXN-14036,Azure Blob storage - backup and DR repository monthly
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (zoom, renewal).",TXN-14037,Zoom Workplace Pro annual renewal - 500 seats
Travel & Transport,0.84,"Description references travel or transport (flight, bus).",TXN-14038,Flight BLR-SIN for Singapore vendor summit - 2 pax business class
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-14040,Personal Swiggy order - home delivery non-business expense
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (notion).,TXN-14042,Notion Enterprise annual - knowledge management 150 seats
Meals & Catering,0.84,"Description references food/catering context (dinner, tea).",TXN-14044,All-hands team dinner Q1 wrap-up event 80 pax
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (aws).,TXN-14045,Credit note - overpayment on AWS Q1 invoice
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (adobe).,TXN-14047,Adobe Sign e-signature pack - 200 contract credits annual plan
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-14048,Fivetran Business annual - 25 connector ELT pipeline
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14049,Event sponsorship - SaaSBoomi annual conference
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14050,JW Marriott Bengaluru - 2 nights leadership offsite Q2
Finance & Banking,0.55,Description references financial services or payment processing (gateway).,TXN-14053,Payment gateway monthly transaction processing fees - May cycle
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-14054,Intercom Business annual - customer messaging 10 seats
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-14055,Intercom Business annual - customer messaging 10 seats
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (jira, confluence).",TXN-14056,Atlassian Cloud bundle - Jira + Confluence 300 users annual
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14057,Town hall snacks and beverages - 200 employees all-hands
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (gcp).,TXN-14058,GCP Pub/Sub message delivery - event streaming pipeline
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-14059,BillDesk payment gateway annual maintenance fee
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (figma).,TXN-14061,Figma Enterprise plan annual - 80 cross-functional seats
Personal Expense,0.55,Description contains personal-use indicators (personal).,TXN-14062,Personal medical consultation - non-work-related
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (license).,TXN-14063,Udemy Business annual license - 100 seat L&D platform
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-14064,Grammarly Business annual - writing assistant 30 seats
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-14065,Bulk flight bookings Q2 team offsite Bengaluru - 25 tickets BLR-DEL
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14066,GKE autopilot charges - containerised workloads monthly
Personal Expense,0.55,Description contains personal-use indicators (personal).,TXN-14067,Personal Airtel mobile recharge - home number
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,PMT-14069,Trademark registration - 5 classes brand protection
Meals & Catering,0.84,"Description references food/catering context (dinner, tea).",TXN-14070,All-hands team dinner Q2 wrap-up event 95 pax
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (zoom).,TXN-14071,Zoom Phone enterprise add-on - 200 DID numbers annual
Meals & Catering,0.84,"Description references food/catering context (catering, tea).",TXN-14072,Sales kickoff catering day 1 - 85 team members
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,PROC-14074,Four Seasons Mumbai - 2 nights suite investor presentation
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-14075,Power BI Premium annual - analytics platform BI team
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-14076,Salesforce Service Cloud annual - 80 agent seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14077,Event sponsorship - SaaSBoomi annual conference
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-14078,Personal Myntra purchase - clothing item non-business
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-14079,Flight BLR-AMS for Amsterdam engineering summit - 2 pax
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (notion).,TXN-14080,Notion Enterprise annual - knowledge management 150 seats
Travel & Transport,0.55,Description references travel or transport (train).,TXN-14081,Radisson Blu Hyderabad - 6 nights team training programme
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14082,Okta Workflows add-on annual - automation tier
Hardware & Equipment,0.55,Description references physical hardware or equipment (chair).,TXN-14083,Herman Miller Aeron chairs - 10 units ergonomic upgrade
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (gcp).,TXN-14084,GCP Vertex AI training job - custom model Q2 batch
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-14085,Coursera for Business annual - 50 seat upskilling program
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (subscription, hubspot).",TXN-14086,HubSpot Marketing Hub Professional annual subscription
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (adobe).,TXN-14087,Adobe Sign e-signature pack - 200 contract credits annual plan
Hardware & Equipment,0.55,Description references physical hardware or equipment (laptop).,TXN-14090,Dell XPS 15 - data scientist laptop 3 units
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-14092,Grammarly Business annual - writing assistant 30 seats
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (gcp).,TXN-14093,GCP Pub/Sub message delivery - event streaming pipeline
Hardware & Equipment,0.55,Description references physical hardware or equipment (laptop).,TXN-14095,Dell XPS 15 - data scientist laptop 3 units
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-14096,Personal Swiggy order - home delivery non-business expense
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14097,DocuSign Enterprise annual - unlimited envelopes 100 senders
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (figma).,TXN-14098,Figma Enterprise plan annual - 80 cross-functional seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14099,ESOP valuation report - grant price board approval
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (s3).,TXN-14100,S3 Glacier archival fees - compliance data retention 7yr policy
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14101,Databricks DBU consumption - ML feature engineering pipelines
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14102,
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14104,Monday.com Standard annual - project management 50 seats
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-14106,Standing desk Flexispot E7 - 5 units health initiative
Travel & Transport,0.55,Description references travel or transport (cab).,TXN-14107,Corporate cab account monthly - engineering late-night cabs April
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (jira, confluence).",TXN-14108,Atlassian Cloud bundle - Jira + Confluence 300 users annual
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-14110,Standing desk Flexispot E7 - 5 units health initiative
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-14111,Coursera for Business annual - 50 seat upskilling program
Hardware & Equipment,0.55,Description references physical hardware or equipment (chair).,TXN-14112,Refund for cancelled office ergonomic chair bulk order - 20 units
Meals & Catering,0.84,"Description references food/catering context (dinner, restaurant).",TXN-14114,Client dinner - deal closure celebration 8 pax restaurant booking
Personal Expense,0.55,Description contains personal-use indicators (personal).,TXN-14115,Personal medical consultation - non-work-related
Finance & Banking,0.55,Description references financial services or payment processing (razorpay).,TXN-14116,Refund - duplicate payment reversed by vendor Razorpay
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-14117,Conrad Bengaluru - 3 nights executive team stay
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-14118,DocuSign Business Pro annual - 500 envelope pack
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14119,Leela Ambience Gurugram - 4 nights extended leadership stay
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-14120,Cloud compute Q2 infra scaling - production cluster autoscaling
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14121,DocuSign Enterprise annual - unlimited envelopes 100 senders
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-14122,Zendesk Suite Professional annual - 40 agent seats
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-14123,Conrad Bengaluru - 3 nights executive team stay
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-14124,Partial refund - catering shortfall Q3 offsite event
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",TXN-14126,Airport cab drop - personal vacation travel to Goa non-business
Personal Expense,0.55,Description contains personal-use indicators (personal).,TXN-14127,Personal medical consultation - non-work-related
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14128,Twitter/X Ads - product launch announcement campaign
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (azure).,TXN-14129,Azure Blob storage - backup and DR repository monthly
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14130,Four Seasons Mumbai - 2 nights suite investor presentation
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-14131,Outbound team building retreat Coorg - 2 days 50 staff
Finance & Banking,0.55,Description references financial services or payment processing (gateway).,TXN-14133,Payment gateway monthly transaction processing fees - April cycle
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14135,Tax advisory - transfer pricing documentation annual
Personal Expense,0.55,Description contains personal-use indicators (personal).,TXN-14136,Personal Airtel mobile recharge - home number
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-14137,Standing desk Flexispot E7 - 5 units health initiative
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14138,Taj Lands End Mumbai - 2 nights partner event accommodation
Personal Expense,0.66,"Description contains personal-use indicators (personal, netflix).",TXN-14139,Personal Netflix subscription - accidentally on corporate card
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14140,Route53 DNS annual - 45 hosted zones enterprise account
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-14141,Quarterly leadership offsite catering - 25 senior leaders
Travel & Transport,0.84,"Description references travel or transport (flight, indigo).",REF-14142,Vendor credit - flight cancellation refund IndiGo BLR-DEL
Finance & Banking,0.55,Description references financial services or payment processing (stripe).,TXN-14145,Stripe processing fees - monthly statement May
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-14146,Conrad Bengaluru - 3 nights executive team stay
Personal Expense,0.84,"Description contains personal-use indicators (personal, gym).",TXN-14147,Gym membership personal - Cult.fit annual plan
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14148,Ride to client site - Bhubaneswar HQ quarterly review meeting
Meals & Catering,0.84,"Description references food/catering context (catering, tea).",CLM-14150,Sales kickoff catering day 2 - 85 team members
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-14151,Calendly Teams annual - scheduling 30 seats
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-14152,Calendly Teams annual - scheduling 30 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14154,
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-14155,Catering for Q1 product roadmap planning workshop - 120 pax
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-14157,Partner summit dinner - 45 external attendees gala dinner
Personal Expense,0.66,"Description contains personal-use indicators (personal, netflix).",EXP-14158,Personal Netflix subscription - accidentally on corporate card
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-14159,Intercom Business annual - customer messaging 10 seats
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-14160,Cloudflare Teams Zero Trust annual - 500 user pack
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (salesforce, license).",TXN-14161,Salesforce CPQ add-on module annual license - 200 named users
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-14163,Investor roadshow dinner - 6 guests fine dining
Travel & Transport,0.55,Description references travel or transport (bus).,CLM-14164,Personal Swiggy order - home delivery non-business expense
Hardware & Equipment,0.55,Description references physical hardware or equipment (chair).,TXN-14165,Herman Miller Aeron chairs - 10 units ergonomic upgrade
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14166,
Travel & Transport,0.84,"Description references travel or transport (flight, bus).",TXN-14167,Flight BLR-SIN for Singapore vendor summit - 2 pax business class
Personal Expense,0.84,"Description contains personal-use indicators (personal, gym).",TXN-14168,Gym membership personal - Cult.fit annual plan
